,lead_actor
0,Michael B. Jordan
1,Sam Worthington
2,Chris Pratt
3,Óscar Barberán
4,Skeet Ulrich
5,Keri Russell
6,Keanu Reeves
7,Antonio Banderas
8,Paul Bianchi
9,Chloe Guidry
10,Craig David Dowsett
11,María Evoli
12,Adam Sandler
13,Letitia Wright
14,Russell Crowe
15,Matt Hookings
16,Dave Bautista
17,Alice Orr-Ewing
18,Natalia Reddersen
19,Jon Øigarden
20,Noah Jupe
21,Gerard Butler
22,Jim Caviezel
23,David Giuntoli
24,Zachary Levi
25,Jena Malone
26,Maxi Witrak
27,Dwayne Johnson
28,Noelle Perdue
29,Allison Williams
30,Paul Rudd
31,Rallén Montenegro
32,Kevin Hart
33,María Romanillos
34,Portia Chellelynn
35,Keanu Reeves
36,Gideon Adlon
37,Tom Berenger
38,Jennifer Lopez
39,Keanu Reeves
40,Meg Donnelly
41,Grace Caroline Currey
42,Treach
43,Frank Grillo
44,Brendan Fraser
45,Jacqueline Byers
46,Josh Duhamel
47,Alisha Weir
48,Nancy Cartwright
49,Natsuki Hanae
50,Natalia Solián
51,Germán Palacios
52,Kang Soo-youn
53,Tom Hanks
54,Woody Harrelson
55,Chris Pine
56,Ine Marie Wilmann
57,James Marsden
58,Robert De Niro
59,Daniil Medvedev
60,Lin-Manuel Miranda
61,Wai-Kin Lam
62,Tom Cruise
63,Dennis Quaid
64,Pavlo Aldoshyn
65,Antonio Banderas
66,Giacomo Gianniotti
67,Melissa Barrera
68,Sam Worthington
69,John Boyega
70,Taron Egerton
71,Adam Driver
72,Chris Hemsworth
73,Michael Weaver
74,Lauren LaVera
75,Keanu Reeves
76,Tom Holland
77,Jeffrey Donovan
78,Polina Avdeenko
79,Gregory Mann
80,Bruno Bichir
81,Masako Nozawa
82,Eva Green
83,Amber Midthunder
84,Kayla Adams
85,Ben Foster
86,Kirsten Day
87,Bob Hoskins
88,Sam Worthington
89,Chris Pratt
90,JP Karliak
91,Zachary Levi
92,Jhon Álex Toro
93,Felix Kammerer
94,David Harbour
95,Melissa Barrera
96,Melissa Barrera
97,Jonathan Majors
98,Viola Davis
99,Lily Sullivan
100,Kiana Madeira
101,Egor Koreshkov
102,Benedict Cumberbatch
103,José María Yázpik
104,Robert Downey Jr.
105,Sosie Bacon
106,Damián Alcázar
107,Bruce Willis
108,Jake Gyllenhaal
109,Charlton Heston
110,Charlton Heston
111,Natsuki Hanae
112,Blanca Suárez
113,Pierre Coffin
114,Michael B. Jordan
115,Michael B. Jordan
116,Idris Elba
117,Vin Diesel
118,Alessandro Gassmann
119,Jason Statham
120,Sydney Craven
121,Rosalie Chiang
122,Stephanie Beatriz
123,James Cromwell
124,Channing Tatum
125,Shawn Mendes
126,Kevin Sorbo
127,Andrew Garfield
128,Ester Expósito
129,Nick Blood
130,Megumi Ogata
131,Robert Pattinson
132,Jaden Smith
133,Toru Furuya
134,Georgie Henley
135,Will Beinbrink
136,Thomas Hobson
137,Gilles Lellouche
138,Malena Villa
139,Matt Damon
140,Amy Adams
141,Eva Noblezada
142,Brad Pitt
143,Joshua Bassett
144,Anna Akana
145,Matthew McConaughey
146,Holly Earl
147,Mike Myers
148,nan
149,Kaaris
150,Jack Huston
151,Jorma Tommila
152,Cassandra Sánchez Navarro
153,Selena Gomez
154,Jason Statham
155,Dominic Mariche
156,Michelle Yeoh
157,Daniel Craig
158,Pol López
159,Charlotte Kirk
160,Daiki Yamashita
161,Adrián Uribe
162,Ofelia Medina
163,Fernando Cabrera
164,Emile Hirsch
165,Kanichi Kurita
166,Adam Sandler
167,Juan Luppi
168,Brad Pitt
169,Sandra Bullock
170,Sandra Bullock
171,Bruce Willis
172,Auðunn Blöndal
173,Yoshitsugu Matsuoka
174,Daniel Radcliffe
175,Jeon Do-yeon
176,Eden Brolin
177,Tom Hardy
178,Daniel Radcliffe
179,Jerrod Carmichael
180,Tom Holland
181,Dwayne Johnson
182,Halle Berry
183,Dali Benssalah
184,Jon Goiri
185,Tyler Posey
186,Eddie Redmayne
187,Owen Wilson
188,Brittany Ashworth
189,Abimana Aryasatya
190,Matthew McConaughey
191,Elli Rhiannon Müller Osborne
192,Kim You-jung
193,Zlatan Ibrahimović
194,Keira Knightley
195,Eden Dambrine
196,Dakota Fanning
197,Idris Elba
198,Daniel Radcliffe
199,Laura Galán
200,Isabelle Fuhrman
201,Ryosuke Yamada
202,Renata Notni
203,Macarena Gómez
204,Brian Deacon
205,Daniel Radcliffe
206,nan
207,Ward Kerremans
208,Guy Pearce
209,Emma Roberts
210,Guilherme Winter
211,Robert Downey Jr.
212,Robert Downey Jr.
213,Edoardo Leo
214,Christian Bale
215,James Maslow
216,Halle Bailey
217,Vin Diesel
218,Leonardo DiCaprio
219,Mike Faist
220,Óscar Barberán
221,Tobey Maguire
222,Tobey Maguire
223,Daniel Radcliffe
224,Diane Kruger
225,N. T. Rama Rao Jr.
226,Song Kang-ho
227,Mason Thames
228,Carlos Alazraqui
229,Anthony Ramos
230,Robert Downey Jr.
231,Shameik Moore
232,Bárbara de Regil
233,Daniel Radcliffe
234,Alexander Skarsgård
235,Rowan Smyth
236,Joshua Dela Cruz
237,Josephine Langford
238,Mel Gibson
239,Charlton Heston
240,Charlton Heston
241,Anna-Maria Sieklucka
242,Bette Midler
243,Jared Leto
244,Larry the Cable Guy
245,Mandy Moore
246,Cole Hauser
247,Dakota Johnson
248,Daniel Radcliffe
249,Emma Stone
250,John Goodman
251,Simon Pegg
252,Javon Walton
253,Alexander Skarsgård
254,John Travolta
255,Simu Liu
256,Ben Affleck
257,Chris Evans
258,Marie Vinck
259,Álvaro Cervantes
260,Signe Egholm Olsen
261,Nanoka Hara
262,Johnny Depp
263,Skyler Davenport
264,Sofia Wylie
265,Christina Ricci
266,Mike Myers
267,Nicolas Cage
268,Dakota Johnson
269,Darío Autrán
270,Wu Jing
271,Shameik Moore
272,Daniel Radcliffe
273,Aubrey Plaza
274,Song Kang-ho
275,Michelle Monaghan
276,Liam Neeson
277,Min Do-yoon
278,Linda Louise Duan
279,Sam Worthington
280,Gemma Chan
281,Wasabi Mizuta
282,Channing Tatum
283,Nathalie Emmanuel
284,Patrick Wilson
285,Saori Hara
286,Sara Mitich
287,Lewis Tan
288,Lewis Tan
289,Johnny Depp
290,Darby Camp
291,Ryan Livingstone
292,Emma Stone
293,Margot Robbie
294,Mutsumi Tamura
295,Sam Rockwell
296,Alexa PenaVega
297,Junko Takeuchi
298,Johnny Depp
299,Zach Gilford
300,Peyton Elizabeth Lee
301,Anthony Gonzalez
302,Karl Urban
303,Tom Hanks
304,Alec Baldwin
305,Yui Hatano
306,Jodie Turner-Smith
307,Ben Kingsley
308,Ryosuke Yamada
309,Leonardo DiCaprio
310,Jennifer Lawrence
311,Emile Hirsch
312,Bruce Willis
313,Matt McClure
